,b_id,expl,L,c,seed
132,4010,kernel_shap,321.13958540328514,52,8778
133,4010,lime,714.7868764233838,52,8778
134,4010,kernel_shap,57.21463566569782,1352,8778
135,4010,lime,125.7191318616591,1352,8778
136,3812,kernel_shap,430.116312124019,52,1765
137,3812,lime,573.912295259895,52,1765
138,3812,kernel_shap,49.27305116806159,1352,1765
139,3812,lime,112.52290659653764,1352,1765
140,3465,kernel_shap,286.20313857011035,52,194
141,3465,lime,787.9289176680459,52,194
142,3465,kernel_shap,31.070069046741786,1352,194
143,3465,lime,135.32658687142649,1352,194
144,4066,kernel_shap,430.00570839521737,52,3957
145,4066,lime,754.6694727926887,52,3957
146,4066,kernel_shap,161.4813261488686,1352,3957
147,4066,lime,115.22907412111051,1352,3957
148,2457,kernel_shap,357.5948762159991,52,3317
149,2457,lime,534.086846422148,52,3317
150,2457,kernel_shap,115.87743896582732,1352,3317
151,2457,lime,180.637952475394,1352,3317
152,2376,kernel_shap,472.4054266414789,52,6922
153,2376,lime,261.1338375456928,52,6922
154,2376,kernel_shap,104.55716036317608,1352,6922
155,2376,lime,166.33705076991475,1352,6922
156,3597,kernel_shap,287.83623457783153,52,2224
157,3597,lime,602.8292654987187,52,2224
158,3597,kernel_shap,73.06067562581413,1352,2224
159,3597,lime,111.69752312175464,1352,2224
160,1564,kernel_shap,604.5300337647288,52,4794
161,1564,lime,362.4158707324741,52,4794
162,1564,kernel_shap,137.52214079755348,1352,4794
163,1564,lime,197.7936135874477,1352,4794
164,2742,kernel_shap,388.366406588522,52,1845
165,2742,lime,791.8523673097638,52,1845
166,2742,kernel_shap,52.62798371667952,1352,1845
167,2742,lime,125.43640897765285,1352,1845
168,1104,kernel_shap,196.21632881843067,52,4452
169,1104,lime,901.0966940832832,52,4452
170,1104,kernel_shap,177.06566591177443,1352,4452
171,1104,lime,124.78483019319611,1352,4452
172,2195,kernel_shap,227.6011006976231,52,1983
173,2195,lime,1013.6821951805726,52,1983
174,2195,kernel_shap,47.706781664091935,1352,1983
175,2195,lime,150.12769864462308,1352,1983
176,3744,kernel_shap,688.3795219512685,52,1676
177,3744,lime,287.5982950374186,52,1676
178,3744,kernel_shap,89.12490190706522,1352,1676
179,3744,lime,122.97958748396064,1352,1676
180,3851,kernel_shap,204.90204648828723,52,8916
181,3851,lime,685.9503871793002,52,8916
182,3851,kernel_shap,96.08368554716591,1352,8916
183,3851,lime,133.83938657031212,1352,8916
184,323,kernel_shap,134.28345397262297,52,1201
185,323,lime,522.0508807709089,52,1201
186,323,kernel_shap,28.022589503698253,1352,1201
187,323,lime,134.616326079648,1352,1201
188,1960,kernel_shap,566.971293028968,52,7624
189,1960,lime,943.2993207728986,52,7624
190,1960,kernel_shap,68.64784953350583,1352,7624
191,1960,lime,113.661866061078,1352,7624
192,782,kernel_shap,370.5639419013398,52,9041
193,782,lime,1082.686209357495,52,9041
194,782,kernel_shap,62.01231437354343,1352,9041
195,782,lime,134.5540486398693,1352,9041
196,1878,kernel_shap,222.3598416284702,52,482
197,1878,lime,821.0973310313974,52,482
198,1878,kernel_shap,40.636745897893,1352,482
199,1878,lime,101.94281500315375,1352,482
200,3159,kernel_shap,344.8341875072255,52,4647
201,3159,lime,767.4936139734601,52,4647
202,3159,kernel_shap,50.9873533478445,1352,4647
203,3159,lime,125.35706955554495,1352,4647
204,2660,kernel_shap,367.1450858211483,52,612
205,2660,lime,547.995236751438,52,612
206,2660,kernel_shap,97.70107251458155,1352,612
207,2660,lime,127.61782244267032,1352,612
208,3609,kernel_shap,634.6626083378579,52,8014
209,3609,lime,626.1308125295096,52,8014
210,3609,kernel_shap,110.84208330263424,1352,8014
211,3609,lime,136.91227425945357,1352,8014
212,2130,kernel_shap,231.10391819357127,52,72
213,2130,lime,1022.210760300519,52,72
214,2130,kernel_shap,75.05565072905544,1352,72
215,2130,lime,158.42564963675926,1352,72
216,1261,kernel_shap,396.0264156960297,52,8548
