,b_id,expl,L,p,cent,s,seed
164,40,hyperx,98.51048656117176,10,eigenvector,"(0, 1)",9035
165,40,hyperx,37.55515374869428,10,eigenvector,"(25, 26)",9035
166,40,hyperx,174.75896273029065,10,eigenvector,"(0, 2)",9035
167,40,hyperx,777.9742797342857,10,eigenvector,"(24, 26)",9035
168,40,hyperx,98.51048656117176,1,eigenvector,"(0, 1)",9035
169,40,hyperx,9.082690636199203,1,eigenvector,"(25, 26)",9035
170,40,hyperx,207.300690633462,1,eigenvector,"(0, 2)",9035
171,40,hyperx,158.01814555503427,1,eigenvector,"(24, 26)",9035
172,40,hyperx,98.51048656117176,2,eigenvector,"(0, 1)",9035
173,40,hyperx,13.878678549924755,2,eigenvector,"(25, 26)",9035
174,40,hyperx,207.300690633462,2,eigenvector,"(0, 2)",9035
175,40,hyperx,303.5109075016536,2,eigenvector,"(24, 26)",9035
176,3676,hyperx,74.82615281523357,10,degree,"(0, 1)",6010
177,3676,hyperx,3.6645356316959763,10,degree,"(25, 26)",6010
178,3676,hyperx,96.79810665985204,10,degree,"(0, 2)",6010
179,3676,hyperx,80.76659877054416,10,degree,"(24, 26)",6010
180,3676,hyperx,49.374269593968364,10,eigenvector,"(0, 1)",6010
181,3676,hyperx,26.44002045299631,10,eigenvector,"(25, 26)",6010
182,3676,hyperx,127.77550053172769,10,eigenvector,"(0, 2)",6010
183,3676,hyperx,619.6502190539229,10,eigenvector,"(24, 26)",6010
184,3676,hyperx,49.374269593968364,1,eigenvector,"(0, 1)",6010
185,3676,hyperx,3.524757679810356,1,eigenvector,"(25, 26)",6010
186,3676,hyperx,76.62330550064836,1,eigenvector,"(0, 2)",6010
187,3676,hyperx,73.501088027617,1,eigenvector,"(24, 26)",6010
188,3676,hyperx,49.374269593968364,2,eigenvector,"(0, 1)",6010
189,3676,hyperx,10.010316650137193,2,eigenvector,"(25, 26)",6010
190,3676,hyperx,76.62330550064836,2,eigenvector,"(0, 2)",6010
191,3676,hyperx,279.4590122100666,2,eigenvector,"(24, 26)",6010
192,1058,hyperx,17.5005218743421,10,degree,"(0, 1)",9972
193,1058,hyperx,2.1201947296531425,10,degree,"(25, 26)",9972
194,1058,hyperx,56.92362852995581,10,degree,"(0, 2)",9972
195,1058,hyperx,47.61662529156904,10,degree,"(24, 26)",9972
196,1058,hyperx,17.85356756554002,10,eigenvector,"(0, 1)",9972
197,1058,hyperx,10.599857452509037,10,eigenvector,"(25, 26)",9972
198,1058,hyperx,39.371401855451026,10,eigenvector,"(0, 2)",9972
199,1058,hyperx,165.8526068889777,10,eigenvector,"(24, 26)",9972
200,1058,hyperx,17.85356756554002,1,eigenvector,"(0, 1)",9972
201,1058,hyperx,1.5102748821495526,1,eigenvector,"(25, 26)",9972
202,1058,hyperx,40.194207944921054,1,eigenvector,"(0, 2)",9972
203,1058,hyperx,34.17639447536599,1,eigenvector,"(24, 26)",9972
204,1058,hyperx,17.85356756554002,2,eigenvector,"(0, 1)",9972
205,1058,hyperx,3.6250280667023413,2,eigenvector,"(25, 26)",9972
206,1058,hyperx,40.194207944921054,2,eigenvector,"(0, 2)",9972
207,1058,hyperx,80.63640902471552,2,eigenvector,"(24, 26)",9972
208,4774,hyperx,20.99665945797266,10,degree,"(0, 1)",2463
209,4774,hyperx,1.4200761009407086,10,degree,"(25, 26)",2463
210,4774,hyperx,39.25575356266326,10,degree,"(0, 2)",2463
211,4774,hyperx,27.782421086589046,10,degree,"(24, 26)",2463
212,4774,hyperx,21.018961332642522,10,eigenvector,"(0, 1)",2463
213,4774,hyperx,7.869870153838849,10,eigenvector,"(25, 26)",2463
214,4774,hyperx,37.773727055068804,10,eigenvector,"(0, 2)",2463
215,4774,hyperx,145.6334469063697,10,eigenvector,"(24, 26)",2463
